iter	RMSE
0	1.20164127
1	1.119755949
2	1.047098301
3	0.9805624051
4	0.9196812038
5	0.8655615778
6	0.8169039628
7	0.7742467467
8	0.7352832503
9	0.6995997552
10	0.6679123758
11	0.6393643582
12	0.6144886121
13	0.5920545604
14	0.5721174048
15	0.5537526194
16	0.5373747033
17	0.5209799294
18	0.5052602787
19	0.4915875019
20	0.481240259
21	0.4705354116
22	0.4621349444
23	0.4546068865
24	0.4454751578
25	0.4393556216
26	0.432175216
27	0.4273527712
28	0.4228071461
29	0.4176673119
30	0.4126768337
31	0.4086859742
32	0.4041514947
33	0.4014945904
34	0.398015355
35	0.3955801135
36	0.3918922293
37	0.3884798973
38	0.386643452
39	0.3834071187
40	0.3799146466
41	0.3783038925
42	0.3765616681
43	0.3747551201
44	0.3723184704
45	0.3698642399
46	0.3676037823
47	0.3653906464
48	0.3641954124
49	0.362939698
50	0.3605282334
51	0.358454543
52	0.3574316531
53	0.3549855243
54	0.3538918365
55	0.3521155422
56	0.3514660791
57	0.3507269419
58	0.3498079423
59	0.3472134252
60	0.3445561557
61	0.3428710326
62	0.3407504665
63	0.3392785607
64	0.3376450136
65	0.3368445434
66	0.3360521488
67	0.3349791428
68	0.3331944017
69	0.3321813766
70	0.3307433984
71	0.3280937741
72	0.3275733906
73	0.3257817452
74	0.3247572196
75	0.3242323429
76	0.3229256491
77	0.322428505
78	0.3216404538
79	0.3200427769
80	0.3171457695
81	0.3155477159
82	0.3145679285
83	0.314001041
84	0.313240296
85	0.3120248574
86	0.3105792291
87	0.3096770127
88	0.3085065609
89	0.3077007575
90	0.3063764776
91	0.3060221698
92	0.3043920892
93	0.3039044237
94	0.3023201699
95	0.301237847
96	0.3004497443
97	0.2999308436
98	0.2994866534
99	0.2990486412
100	0.2976417231
101	0.2967863997
102	0.2958479242
103	0.295096541
104	0.2936184008
105	0.2927694366
106	0.2925371437
107	0.2905587294
108	0.2897781637
109	0.2890949998
110	0.2875472684
111	0.2871186595
112	0.2855683772
113	0.2842919616
114	0.2836241796
115	0.282935877
116	0.2821385067
117	0.2811259849
118	0.2806057835
119	0.2792410721
120	0.2783983638
121	0.2779188195
122	0.2776157047
123	0.2766195074
124	0.2760543806
125	0.2752436846
126	0.2746637327
127	0.2743081279
128	0.2729096658
129	0.2711885944
130	0.2705320416
131	0.2695679323
132	0.2685533987
133	0.2682207243
134	0.2675531266
135	0.2672815571
136	0.2660248635
137	0.2652000031
138	0.2646862252
139	0.2634942816
140	0.2624112788
141	0.2615126635
142	0.2604084682
143	0.2596487337
144	0.2588746148
145	0.2583300302
146	0.2575156632
147	0.2558560599
148	0.2551337699
149	0.2544832174
150	0.2541864077
151	0.2535946891
152	0.2524977296
153	0.2513569676
154	0.2509602729
155	0.2500121612
156	0.2495361647
157	0.2487616541
158	0.2479056584
159	0.247539646
160	0.2462123309
161	0.2457805091
162	0.2451719782
163	0.2440279833
164	0.2435518328
165	0.2424160796
166	0.2422790812
167	0.2413437544
168	0.2409041195
169	0.2402606395
170	0.2398171591
171	0.2390053678
172	0.2387318182
173	0.2380642898
174	0.2373708339
175	0.2369253129
176	0.2364024221
177	0.2361412615
178	0.2353592566
179	0.2350083635
180	0.2343193566
181	0.2339336711
182	0.2338162538
183	0.2328538631
184	0.2325779867
185	0.2321378288
186	0.2317822768
187	0.2314630106
188	0.2312561331
189	0.2305045945
190	0.2300261006
191	0.2296428602
192	0.2292767391
193	0.2287554543
194	0.2285844278
195	0.2280049934
196	0.2274061551
197	0.2269540754
198	0.2265181678
199	0.22562627
200	0.2252986112
201	0.22455135
202	0.2240172955
203	0.2237931149
204	0.2235260387
205	0.2232409915
206	0.2230557799
207	0.2223874681
208	0.2218846745
209	0.2215747741
210	0.2211573133
211	0.2205229923
212	0.2201268311
213	0.2194648318
214	0.2193484756
215	0.2186692225
216	0.2179684174
217	0.2174465228
218	0.2173050199
219	0.2166482206
220	0.2161310598
221	0.2157613332
222	0.2149937279
223	0.2146207315
224	0.2142820157
225	0.2136847582
226	0.2134258759
227	0.2127001435
228	0.2116980363
229	0.2114057622
230	0.210844695
231	0.2105258642
232	0.2094805409
233	0.2089864657
234	0.2086599091
235	0.2082819266
236	0.2080460336
237	0.2078090972
238	0.2076296042
239	0.2073415751
240	0.2069346318
241	0.2063452687
242	0.2057809009
243	0.2055158561
244	0.2051949787
245	0.2048174582
246	0.2046239933
247	0.2042399114
248	0.2040742817
249	0.2035933271
250	0.2033181514
251	0.2030033009
252	0.2025038582
253	0.2020788745
254	0.2019152329
255	0.2011013444
256	0.2006293942
257	0.2002392547
258	0.1999871073
259	0.1994141152
260	0.1993314015
261	0.1989083427
262	0.1985872975
263	0.1983311832
264	0.1980456293
265	0.1979008672
266	0.197659475
267	0.1971780838
268	0.196837528
269	0.1965740286
270	0.1962780317
271	0.1961574692
272	0.1952996798
273	0.1952290641
274	0.1947340281
275	0.1943415757
276	0.1938642361
277	0.1937927568
278	0.1933807886
279	0.1929578057
280	0.1926988033
281	0.1923068847
282	0.192182202
283	0.1919600825
284	0.191828806
285	0.1914234373
286	0.191194998
287	0.1909821562
288	0.1905194606
289	0.1900240446
290	0.1897730028
291	0.1893993225
292	0.1891116005
293	0.1888439872
294	0.1885948296
295	0.1878796405
296	0.1871709013
297	0.1869885439
298	0.1866342442
299	0.186113533
300	0.1859999208
301	0.1855843112
302	0.1853338607
303	0.1845355931
304	0.1841069422
305	0.1838899229
306	0.183678585
307	0.1830763309
308	0.182918431
309	0.1826587758
310	0.182304324
311	0.1820664375
312	0.1818589042
313	0.1811671513
314	0.1809649519
315	0.1807685391
316	0.1801291491
317	0.179993938
318	0.1798497017
319	0.179504272
320	0.1791050126
321	0.1787110719
322	0.1785434577
323	0.178032039
324	0.1777355321
325	0.1773462987
326	0.1771859012
327	0.1766827456
328	0.1765849953
329	0.1762665298
330	0.1759908732
331	0.1758391764
332	0.1757590799
333	0.1756296812
334	0.1749633566
335	0.1747793417
336	0.1746235472
337	0.1742823288
338	0.173946621
339	0.173515843
340	0.173033151
341	0.1728303932
342	0.1722082708
343	0.1720644895
344	0.1718671828
345	0.1717364996
346	0.1714079659
347	0.1710344862
348	0.1709356847
349	0.170568147
350	0.1702071245
351	0.169868835
352	0.1694639408
353	0.1689830863
354	0.1684646534
355	0.1682876615
356	0.1680202246
357	0.1678394858
358	0.1675365151
359	0.1674049326
