iter	Passed	Remaining
0	70	7067912
1	89	4483608
2	108	3625726
3	123	3084951
4	139	2790495
5	154	2568378
6	169	2419038
7	185	2322042
8	200	2227328
9	215	2158399
10	232	2114466
11	247	2061730
12	262	2022453
13	277	1981167
14	293	1956981
15	309	1933107
16	323	1901336
17	339	1884286
18	355	1871829
19	374	1870429
20	388	1850368
21	404	1838190
22	418	1817830
23	433	1805298
24	445	1783338
25	460	1769517
26	472	1751048
27	491	1754282
28	507	1750983
29	522	1739878
30	534	1722171
31	550	1720469
32	566	1715825
33	581	1708300
34	599	1712032
35	614	1706198
36	629	1699500
37	642	1690417
38	654	1677270
39	666	1666543
40	680	1658560
41	693	1651000
42	707	1644081
43	719	1633977
44	737	1638010
45	754	1640101
46	774	1647848
47	801	1668248
48	817	1667413
49	832	1664190
50	848	1662597
51	864	1662159
52	878	1656177
53	889	1647157
54	904	1644038
55	917	1637697
56	932	1634729
57	945	1629157
58	960	1626258
59	974	1622473
60	990	1622489
61	1005	1620033
62	1017	1614175
63	1028	1606458
64	1041	1600958
65	1056	1599357
66	1069	1595253
67	1085	1594629
68	1098	1590555
69	1111	1586949
70	1125	1583949
71	1139	1580988
72	1153	1578829
73	1167	1576315
74	1181	1574552
75	1196	1573501
76	1211	1571818
77	1224	1569117
78	1236	1564169
79	1250	1562364
80	1266	1562660
81	1280	1559745
82	1296	1560417
83	1312	1561476
84	1327	1560398
85	1343	1560896
86	1357	1558519
87	1371	1556818
88	1383	1553241
89	1400	1554366
90	1414	1552745
91	1427	1550362
92	1441	1548398
93	1454	1546220
94	1469	1545066
95	1483	1544151
96	1506	1551926
97	1521	1550533
98	1534	1548829
99	1547	1546344
100	1559	1542655
101	1575	1542600
102	1590	1542940
103	1605	1541884
104	1618	1539692
105	1631	1537556
106	1645	1535806
107	1659	1534537
108	1672	1532431
109	1687	1532102
110	1701	1531025
111	1715	1529615
112	1726	1525973
113	1740	1524799
114	1753	1523273
115	1769	1523361
116	1782	1521734
117	1794	1518962
118	1808	1518079
119	1821	1516305
120	1834	1514564
121	1850	1514570
122	1865	1514555
123	1880	1514665
124	1893	1512516
125	1907	1512107
126	1922	1511982
127	1938	1512539
128	1951	1510841
129	1966	1510914
130	1980	1509862
131	1993	1507900
132	2006	1506622
133	2022	1507410
134	2036	1506576
135	2051	1506391
136	2065	1505896
137	2078	1503765
138	2093	1504010
139	2104	1501353
140	2118	1500154
141	2132	1499738
142	2146	1499215
143	2161	1498698
144	2174	1497200
145	2191	1498644
146	2206	1498715
147	2218	1496926
148	2234	1497213
149	2249	1497224
150	2262	1495817
151	2276	1495166
152	2291	1495466
153	2303	1493243
154	2317	1493005
155	2331	1492189
156	2345	1491793
157	2360	1491360
158	2374	1491089
159	2389	1491164
160	2403	1490192
161	2418	1490492
162	2433	1490482
163	2447	1490154
164	2464	1491088
165	2480	1491670
166	2494	1491116
167	2509	1491248
168	2526	1492631
169	2543	1493611
170	2558	1493574
171	2572	1493044
172	2587	1492889
173	2603	1493627
174	2621	1495180
175	2635	1494722
176	2651	1495093
177	2667	1495966
178	2682	1495742
179	2696	1495141
180	2711	1495127
181	2724	1494378
182	2737	1493386
183	2753	1493518
184	2768	1493646
185	2787	1495926
186	2802	1495744
