iter	RMSE
0	0.7451070945
1	0.5136588763
2	0.413959597
3	0.3579043818
4	0.3350637049
5	0.3224846395
6	0.3114976804
7	0.3005225448
8	0.2912146612
9	0.287585694
10	0.278851012
11	0.2683606847
12	0.2571884014
13	0.2537005389
14	0.2498269722
15	0.2469962078
16	0.2451860177
17	0.2379195491
18	0.2306542494
19	0.2264965221
20	0.2244113683
21	0.2171611098
22	0.215930024
23	0.2140285014
24	0.2111585412
25	0.2066533553
26	0.2055750755
27	0.2021447466
28	0.201644093
29	0.1989348167
30	0.1979977166
31	0.1948856959
32	0.1939870167
33	0.1927593907
34	0.1921818785
35	0.1893977962
36	0.1877644246
37	0.1862223907
38	0.1825235663
39	0.1773801466
40	0.1741862697
41	0.1722278605
42	0.1713725612
43	0.1706208964
44	0.1656514083
45	0.1619950531
46	0.1614042346
47	0.1587899605
48	0.1546467735
49	0.1525002755
50	0.1502780612
51	0.1492693553
52	0.1481880552
53	0.1472439357
54	0.1462425003
55	0.1457640101
56	0.1456166108
57	0.1453711342
58	0.1437432072
59	0.1421509458
60	0.1410135447
61	0.1402286425
62	0.1398844531
63	0.13892928
64	0.13852881
65	0.1341292078
66	0.1330275909
67	0.1312428602
68	0.1287656661
69	0.1267731048
70	0.1263813428
71	0.125660939
72	0.1251333021
73	0.124156867
74	0.1225508394
75	0.1222787812
76	0.1206223747
77	0.1197833874
78	0.1188640993
79	0.1180916301
80	0.1172363783
81	0.1167194619
82	0.1160763983
83	0.1154770136
84	0.1152097885
85	0.1150579815
86	0.1146874391
87	0.1142868068
88	0.1139101077
89	0.1138695199
90	0.1135740976
91	0.1127470668
92	0.1125115857
93	0.1122054302
94	0.1106827854
95	0.1096547537
96	0.1095267042
97	0.1092482256
98	0.1084476774
99	0.1075365416
