iter	Passed	Remaining
0	80	7977
1	94	4610
2	106	3454
3	117	2810
4	124	2370
5	132	2081
6	140	1871
7	149	1722
8	157	1589
9	165	1485
10	174	1408
11	182	1337
12	191	1281
13	200	1230
14	208	1179
15	216	1136
16	225	1100
17	234	1067
18	243	1039
19	253	1012
20	260	981
21	269	955
22	277	927
23	285	904
24	293	881
25	301	859
26	309	837
27	318	818
28	326	799
29	335	782
30	343	764
31	351	747
32	359	730
33	367	713
34	375	696
35	383	681
36	391	667
37	399	652
38	408	638
39	416	625
40	425	611
41	433	599
42	441	585
43	449	572
44	459	561
45	469	551
46	477	538
47	487	528
48	496	516
49	505	505
50	515	494
51	524	484
52	532	472
53	541	461
54	551	450
55	561	440
56	568	429
57	577	418
58	586	407
59	596	397
60	605	387
61	615	377
62	624	367
63	635	357
64	645	347
65	654	337
66	664	327
67	674	317
68	683	306
69	692	296
70	701	286
71	710	276
72	719	266
73	729	256
74	739	246
75	749	236
76	760	227
77	769	216
78	778	206
79	786	196
80	795	186
81	803	176
82	812	166
83	822	156
84	831	146
85	842	137
86	852	127
87	863	117
88	875	108
89	884	98
90	894	88
91	904	78
92	914	68
93	923	58
94	934	49
95	946	39
96	954	29
97	964	19
98	975	9
99	985	0
