	Trees	rmse of log
0	1	0.2633236239277528
1	2	0.2630370617875017
2	3	0.2627895577704705
3	4	0.26287815207388454
4	5	0.26299100410963916
5	6	0.26347938025116985
6	7	0.2652903225586661
7	8	0.26402278899006537
8	9	0.26229615078919344
9	10	0.2639537019711577
10	11	0.26297608678835627
11	12	0.2632169183332569
12	13	0.26353246517049567
13	14	0.26277566261439267
14	15	0.2638247386162604
15	16	0.26321749933511207
16	17	0.2633850232846089
17	18	0.2631478128569436
18	19	0.2641317383701218
19	20	0.26370049531111617
20	21	0.2631776348805567
21	22	0.26426575673998126
22	23	0.26311408464474134
23	24	0.26371371609625305
24	25	0.2630355466582812
25	26	0.26377896630541026
26	27	0.2634602057666848
27	28	0.2636181685991306
28	29	0.2637892063832091
29	30	0.26266058825013167
30	31	0.2635728428686724
31	32	0.26374359594018876
32	33	0.262258968902466
33	34	0.2627455029956229
34	35	0.2622277268464248
35	36	0.26493582252189257
36	37	0.26375148110843005
37	38	0.26277614443313907
38	39	0.26317726704048117
39	40	0.2630841858868108
40	41	0.2655390472135371
41	42	0.2635750259107549
42	43	0.2636067257199088
43	44	0.2637593235499923
44	45	0.2636364942798608
45	46	0.26352049628771185
46	47	0.263500611139621
47	48	0.2627593886543791
48	49	0.2630606046775942
49	50	0.2643146159790737
50	51	0.2637773659318061
51	52	0.2628595579375907
52	53	0.26195596877302874
53	54	0.2632480628440311
54	55	0.26186387455967464
55	56	0.26387129890772426
56	57	0.26312193003247775
57	58	0.263535548829693
58	59	0.26357672556269385
59	60	0.26265017528009
60	61	0.26635632968554107
61	62	0.2640762735450467
62	63	0.2636227482924464
63	64	0.2633738216609499
64	65	0.26358599075230477
65	66	0.2631096311120241
66	67	0.26298100785298373
67	68	0.2631406669387387
68	69	0.2637363897239486
69	70	0.26508645478364234
70	71	0.2622601142248795
71	72	0.2631426246445409
72	73	0.2641977452827432
73	74	0.26262760667322316
74	75	0.26267596145041644
75	76	0.2628047786989447
76	77	0.2630566097653714
77	78	0.26443207440072136
78	79	0.26414469982922406
79	80	0.26461554222565103
80	81	0.2626153744114937
81	82	0.2632931808690995
82	83	0.26390432251938506
83	84	0.26331195167344434
84	85	0.26442622424536427
85	86	0.26417087109457765
86	87	0.26384200739099206
87	88	0.26375099612919134
88	89	0.2629708260894874
89	90	0.2652600711130832
90	91	0.2619730781075623
91	92	0.26304616186561147
92	93	0.26318110626101415
93	94	0.2632638737545566
94	95	0.263563445963652
95	96	0.2631401491864456
96	97	0.2642938585024237
97	98	0.2635969194342868
98	99	0.2629334010669633
99	100	0.26377053941936107
100	101	0.26244534035507855
101	102	0.2629776501258472
102	103	0.2632588467548047
103	104	0.2638454010320884
104	105	0.2622871603896082
105	106	0.2627127448887643
106	107	0.26386978143520967
107	108	0.263264778876282
108	109	0.26222137925345684
109	110	0.26289637714095415
110	111	0.2641428431360956
111	112	0.26206659037106494
112	113	0.2630900683664511
113	114	0.2631441660954074
114	115	0.2629892449832352
115	116	0.26314179912966085
116	117	0.26283613501030256
117	118	0.26238728932324373
118	119	0.2633707070195804
119	120	0.2629487908551945
120	121	0.2630483459041894
121	122	0.2631053614881495
122	123	0.2637730669466924
123	124	0.26256674792089024
124	125	0.26327264213326734
125	126	0.26322290923890274
126	127	0.2647379905800631
127	128	0.26262516775910005
128	129	0.2632826607141168
129	130	0.26373337169705385
130	131	0.26297392744538045
131	132	0.26329834649598205
132	133	0.26243025486967053
133	134	0.262827408571289
134	135	0.2631858652042153
135	136	0.2633675679103507
136	137	0.2633051916333294
137	138	0.2626970926325205
138	139	0.2625246582050823
139	140	0.26306202333055995
140	141	0.2627106325786369
141	142	0.262834247550606
142	143	0.262355045609596
143	144	0.2630482512259324
144	145	0.26360849212264176
145	146	0.2648124126085295
146	147	0.26340717621499055
147	148	0.2642298386469966
148	149	0.26441089248806865
149	150	0.26308122926331656
150	151	0.26381804500825107
151	152	0.26299732408790466
152	153	0.26296559165713895
153	154	0.2638971238498893
154	155	0.2640794646670408
155	156	0.26251870242478936
156	157	0.26484046219461316
157	158	0.2631524914594697
158	159	0.26257098025764897
159	160	0.2638485424245025
160	161	0.2634613491965427
161	162	0.2629488997039857
162	163	0.26550658279103384
163	164	0.26370730069770204
164	165	0.26425251361558455
165	166	0.26285164102683384
166	167	0.2634327388750259
167	168	0.26296994693609993
168	169	0.26250937832604176
169	170	0.2640658601626089
170	171	0.2623550394378811
171	172	0.26371447791516617
172	173	0.2635093617657119
173	174	0.26600823357036996
174	175	0.26414483715755027
175	176	0.26274173017143043
176	177	0.26228848710722974
177	178	0.262415303179494
178	179	0.26282913119484896
179	180	0.2635392893414648
180	181	0.2632305372688638
181	182	0.26215012290789874
182	183	0.2635863295123951
183	184	0.2625125294572705
184	185	0.2641163217483331
185	186	0.26405938182545496
186	187	0.26434154722268627
187	188	0.26270552893725385
188	189	0.2639857278573506
189	190	0.26406080423312056
190	191	0.2627373289871192
191	192	0.262375245570829
192	193	0.2640765814467887
193	194	0.26482554809910896
194	195	0.26411241314372264
195	196	0.26326549029364715
196	197	0.26384975301326913
197	198	0.26287484427111396
198	199	0.26473170462327184
199	200	0.26290073629749583
200	201	0.2622280901112305
201	202	0.2632768221481402
202	203	0.26297316881934846
203	204	0.26402140532594465
204	205	0.2634419232466997
205	206	0.262704953559445
206	207	0.2636189483730966
207	208	0.2642720076582186
208	209	0.2630420816769397
209	210	0.26384418392689174
210	211	0.26338076909274477
211	212	0.2633069387456673
212	213	0.2653819189191907
213	214	0.2630340081688462
214	215	0.2627465642476288
215	216	0.2628956826056416
216	217	0.263887535920816
217	218	0.26387798323222594
218	219	0.26318646197974405
219	220	0.26323456137432716
220	221	0.26347341770319016
221	222	0.2633788706404042
222	223	0.262633035092411
223	224	0.2623092365023378
224	225	0.2630181145873495
225	226	0.2631999457108654
226	227	0.2646842430797634
227	228	0.26313755921702864
228	229	0.2637766809085964
229	230	0.263309769938114
230	231	0.26316691419957494
231	232	0.2651106889896733
232	233	0.2628630988343231
233	234	0.262822069951641
234	235	0.26320610784404574
235	236	0.2630889037863646
236	237	0.2628242502002897
237	238	0.2637852564380078
238	239	0.26432842128363515
239	240	0.26312371758994874
240	241	0.2641335372128115
241	242	0.2640482814945734
242	243	0.26354152765081024
243	244	0.26387110422012006
244	245	0.2639389677817612
245	246	0.26308162530896073
246	247	0.263413338508013
247	248	0.2635873966498957
248	249	0.26386162231117666
249	250	0.2634229269499991
250	251	0.2633789552303116
251	252	0.2639545524667148
252	253	0.2633997194091432
253	254	0.26273616104345193
254	255	0.26270319699972905
255	256	0.2643073278149486
256	257	0.26389109606313954
257	258	0.2636360787449341
258	259	0.2636619167836657
259	260	0.26189008389308666
260	261	0.26436945993997296
261	262	0.26378224961611374
262	263	0.26224385480611223
263	264	0.26279718946247116
264	265	0.26350347393168133
265	266	0.26320746651443716
266	267	0.26333041139596425
267	268	0.26367162625504936
268	269	0.2632526618704376
269	270	0.26366701470907106
270	271	0.26248893850885474
271	272	0.2634853751173651
272	273	0.26524824000630826
273	274	0.263961130335077
274	275	0.2640933548991165
275	276	0.26372789227056803
276	277	0.26268442073710224
277	278	0.2652159068294894
