pH	OCP_t0	OCP_t_half	delta_OCP	tafel_slope [mV/dec]	intercept [V]	r_value_squared	standard error tafel
2.0	-0.671167	-0.663818	-0.007348999999999939	-435.46146410929157	-2.5945705066112614	0.9998778632039561	7.485387319711119e-05
2.2	-0.681167	-0.680118	-0.0010489999999999666	-366.6637772605482	-2.3098583800462893	0.9966240639111679	0.0003367880371745789
2.4	-0.654167	-0.632618	-0.02154900000000004	-453.2341069343069	-2.8824262115290313	0.991743498045203	0.0006224504464596651
2.6	-0.701167	-0.693318	-0.007848999999999995	-504.20524028162237	-2.99972716653996	0.9989519588837916	0.0002540952910243588
2.8	-0.655167	-0.755418	0.10025099999999998	-335.6255395160265	-2.503523087183235	0.99626616252028	0.00046233999774260813
3.0	-0.662167	-0.693218	0.03105100000000005	-376.82370421874725	-2.7861525432112653	0.9990783459968121	0.0001968921051017814
3.2	-0.658167	-0.674218	0.016051000000000037	-439.15722738167244	-3.0511484314576514	0.9969889912108107	0.0003980550273499607
3.4	-0.658167	-0.651618	-0.006548999999999916	-574.3075697480018	-3.9503705342687274	0.9988068162032755	0.0003089121740748974
3.6	-0.695167	-0.721524	0.026357000000000075	-436.289095166508	-3.3098078517491327	0.9985012046004179	0.00028666118506788784
3.8	-0.669167	-0.660218	-0.008948999999999985	-1113.2499633256116	-6.8179302887524855	0.9844034824714275	0.002171263015148296
4.0	-0.685167	-0.679318	-0.005848999999999993	-819.6969968291932	-5.433619075506987	0.8942481548095186	0.004402803827399153
4.2	-0.727167	-0.716224	-0.010943000000000036	-617.2823627115692	-4.564879356591328	0.9987713044344442	0.00035719338681023896
4.4	-0.849167	-0.652124	-0.19704299999999997	-644.5281731210148	-4.588293942822458	0.9981976707744264	0.00038895327345317486
4.6	-0.666167	-0.655518	-0.010648999999999909	-441.50641211640254	-3.201284298691969	0.9984930355162767	0.0002643787475917484
4.8	-0.798167	-0.755024	-0.04314299999999993	-279.9101942544722	-2.4525181242218297	0.9999717320638523	2.7659709899271505e-05
5.0	-0.671167	-0.639218	-0.031949000000000005	-525.3732285272539	-3.669062695588984	0.9971214052016196	0.00041395936365254865
5.2	-0.799167	-0.844218	0.04505100000000006	-262.5127287791288	-2.532752447628045	0.9986801491029563	0.0002861852194272432
5.4	-0.674167	-0.662218	-0.011948999999999987	-709.5883360347563	-4.9666086003039736	0.972533060744459	0.001832019882657701
5.6	-0.785167	-0.751524	-0.03364299999999998	-439.9585491304886	-3.413331163340833	0.9976390632350742	0.00039285769799046635
5.8	-0.702167	-0.724224	0.022056999999999993	-458.87480826034414	-3.4713405903332712	0.9981695764305868	0.0003315345366422009
6.0	-0.709167	-0.735524	0.026356999999999964	-420.40112185217106	-3.2567362910862014	0.9998310962915337	9.532051044651176e-05
6.2	-0.743167	-0.748124	0.004956999999999989	-416.4315358204425	-3.2562120257596194	0.9983506275282201	0.0003072430631174349
6.4	-0.782167	-0.785424	0.0032570000000000654	-384.21749672235853	-3.0975100748101076	0.9968314274564233	0.00045286639451297433
6.6	-0.823167	-0.809424	-0.01374299999999995	-377.31347900952574	-3.074911890993819	0.9955104739433913	0.0005960745439540139
6.8	-0.699167	-0.695418	-0.0037490000000000023	-752.5927186354036	-4.86623297031798	0.9833103594462409	0.001535563713375352
7.0	-0.739167	-0.733424	-0.005743000000000054	-438.80504976065924	-3.4677251646386837	0.9999556587275432	5.06288432820251e-05
7.2	-0.874167	-0.819324	-0.054842999999999975	-410.54313140248223	-3.35155193833611	0.9922031651464202	0.0009064318045388398
7.4	-0.722167	-0.725818	0.00365099999999996	-520.3379596923954	-3.9470672959059803	0.9979256808003102	0.0004019735400600587
7.6	-0.824167	-0.865824	0.041657000000000055	-252.46089334001903	-2.515472039080067	0.9995195321604443	0.00021195245254526293
7.8	-0.736124	-0.719424	-0.016700000000000048	-626.2872940299529	-4.688850121040956	0.9593230009130487	0.002146704091766317
8.0	-0.746167	-0.735824	-0.010342999999999991	-417.05761317208453	-3.3643819478951262	0.9961549608365342	0.0004522865758981931
8.2	-0.676167	-0.649224	-0.02694299999999994	-539.8442436700617	-4.102368532349145	0.9985183591424475	0.0003087290743730286
8.4	-0.66216	-0.650024	-0.012136	-428.4707938849757	-3.435343189861927	0.9977661664258063	0.0004868640394211901
8.6	-0.670167	-0.685824	0.015657000000000032	-513.6524189339948	-4.043576044657004	0.9316447094133741	0.002294163580553014
8.8	-0.828167	-0.731324	-0.09684300000000001	-396.53335738673934	-3.266630694009572	0.9941286318423745	0.0005246329382100431
9.0	-0.727324	-0.706824	-0.020499999999999963	-662.2629682207181	-4.704442799286321	0.9950016681838503	0.0007553095465438022
9.2	-0.732167	-0.705624	-0.026542999999999983	-551.9610387387514	-3.8331793945390293	0.9982183716140183	0.00037411807771958755
9.4	-0.748167	-0.722024	-0.026143000000000027	-436.665972782251	-3.275909180796555	0.9999546701195033	4.92957579783883e-05
9.6	-0.675167	-0.709224	0.034057000000000004	-448.8716478702142	-3.398789557573083	0.9940683103372951	0.0006032304440980674
9.8	-0.729167	-0.723424	-0.005743000000000054	-827.5763429438429	-5.655659817533479	0.9992605780948326	0.00037895620034393985
10.0	-0.742167	-0.684324	-0.05784299999999998	-484.0766070330845	-3.590847729217975	0.9995036759439984	0.00016912744519241677
10.2	-0.871167	-0.774224	-0.096943	-320.0974823550243	-2.840510600459316	0.9997142242646525	0.00010798095908321406
10.4	-1.12317	-1.14132	0.01814999999999989	-164.4995397634308	-2.1145306622798543	0.9989329852970474	8.906201731831365e-05
10.6	-1.20417	-1.24892	0.04475000000000007	-173.3374311800083	-2.191595698057828	0.9988855797015506	0.00010415491086698704
10.8	-1.20717	-1.28642	0.07924999999999982	-184.8800193210837	-2.23257784840919	0.9968221394104082	0.00021211016971719912
11.0	-1.34117	-1.31842	-0.022750000000000048	-251.57986517922993	-2.3454474323110905	0.9567442578279866	0.0007995668737845798
11.2	-1.41517	-1.41581	0.0006399999999999739	-306.43925957789736	-2.539182659406473	0.9726596088227543	0.0008142733792398629
11.4	-1.43517	-1.39201	-0.04316000000000009	-429.19701790980906	-2.8001342016910593	0.9692439377394637	0.0010961351195458032
11.6	-1.52417	-1.47041	-0.05376000000000003	-515.1672912163265	-3.054508480486099	0.9758326194398338	0.0011379275163524093
11.8	-1.52817	-1.49262	-0.03554999999999997	-555.0839327147785	-3.1263033384948424	0.9850241805406345	0.00099644088849526
12.0	-1.53117	-1.50542	-0.02574999999999994	-568.0337580132154	-3.124946665158757	0.9770947434026288	0.0012943284918588592
