pH	OCP_t0	OCP_th	delta	pH_Epit	Epit
2.0	-0.671139	-0.663818	-0.0073489999999999	2.8	-0.65
2.2	-0.681386	-0.680118	-0.0010489999999999	3.0	-0.66
2.4000000000000004	-0.653973	-0.632618	-0.021549	3.6	-0.66
2.6000000000000005	-0.701858	-0.693318	-0.0078489999999999	4.2	-0.65
2.8000000000000007	-0.654833	-0.755418	0.1002509999999999	4.8	-0.66
3.000000000000001	-0.662688	-0.693218	0.031051	5.2	-0.7
3.200000000000001	-0.658734	-0.674218	0.016051	5.6	-0.66
3.400000000000001	-0.658724	-0.651618	-0.0065489999999999	6.4	-0.65
3.6000000000000014	-0.695908	-0.721524	0.026357	6.6	-0.65
3.8000000000000016	-0.669105	-0.660218	-0.0089489999999999	6.8	-0.65
4.000000000000002	-0.68491	-0.679318	-0.0058489999999999	7.0	-0.67
4.200000000000002	-0.727792	-0.716224	-0.010943	7.2	-0.65
4.400000000000002	-0.849769	-0.652124	-0.1970429999999999	7.6	-0.67
4.600000000000002	-0.666588	-0.655518	-0.0106489999999999	7.8	-0.67
4.8000000000000025	-0.799814	-0.755024	-0.0431429999999999	8.0	-0.64
5.000000000000003	-0.672413	-0.639218	-0.031949	8.8	-0.65
5.200000000000003	-0.799616	-0.844218	0.045051	9.2	-0.64
5.400000000000003	-0.674658	-0.662218	-0.0119489999999999	10.2	-0.67
5.600000000000003	-0.785997	-0.751524	-0.0336429999999999		
5.800000000000003	-0.702883	-0.724224	0.0220569999999999		
6.000000000000004	-0.709939	-0.735524	0.0263569999999999		
6.200000000000004	-0.743812	-0.748124	0.0049569999999999		
6.400000000000004	-0.78269	-0.785424	0.003257		
6.600000000000004	-0.824125	-0.809424	-0.0137429999999999		
6.800000000000004	-0.699958	-0.695418	-0.003749		
7.000000000000004	-0.739377	-0.733424	-0.005743		
7.200000000000005	-0.875199	-0.819324	-0.0548429999999999		
7.400000000000005	-0.723577	-0.725818	0.0036509999999999		
7.600000000000005	-0.826456	-0.865824	0.041657		
7.800000000000005	-0.726146	-0.719424	-0.0167		
8.000000000000005	-0.746155	-0.735824	-0.0103429999999999		
8.200000000000006	-0.676707	-0.649224	-0.0269429999999999		
8.400000000000006	-0.66303	-0.650024	-0.012136		
8.600000000000005	-0.670341	-0.685824	0.015657		
8.800000000000006	-0.82969	-0.731324	-0.096843		
9.000000000000007	-0.71736	-0.706824	-0.0204999999999999		
9.200000000000006	-0.732685	-0.705624	-0.0265429999999999		
9.400000000000006	-0.748813	-0.722024	-0.026143		
9.600000000000009	-0.674978	-0.709224	0.034057		
9.800000000000008	-0.729556	-0.723424	-0.005743		
10.000000000000009	-0.742374	-0.684324	-0.0578429999999999		
10.200000000000006	-0.872013	-0.774224	-0.096943		
10.400000000000007	-1.12395	-1.14132	0.0181499999999998		
10.600000000000009	-1.20418	-1.24892	0.04475		
10.800000000000008	-1.20807	-1.28642	0.0792499999999998		
11.000000000000009	-1.3428	-1.31842	-0.02275		
11.200000000000008	-1.41571	-1.41581	0.0006399999999999		
11.40000000000001	-1.43599	-1.39201	-0.04316		
11.600000000000009	-1.52507	-1.47041	-0.05376		
11.800000000000008	-1.52945	-1.49262	-0.0355499999999999		
12.000000000000009	-1.53211	-1.50542	-0.0257499999999999		
