best_models_sorted,val_loss_rmse,neurons,num_hidden_layers,l2,optimizer,loss,activation,output_activation,batch_size
1,0.015426347963511944,50,4,0.01,adam,msle,relu,linear,32
2,0.015686457976698875,90,4,0.001,adam,mse,relu,linear,32
3,0.016007496044039726,80,3,0.001,adam,mse,relu,linear,32
4,0.018944919109344482,90,3,0.0001,adam,mse,relu,linear,32
5,0.01902960054576397,60,4,0.0001,adam,mse,relu,linear,32
6,0.02097538858652115,70,3,0.01,adam,mse,relu,linear,32
7,0.02154076099395752,70,3,0.0001,adam,msle,relu,linear,32
8,0.023987768217921257,60,3,0.001,adam,mse,relu,linear,32
9,0.024201633408665657,60,3,0.001,adam,mae,relu,linear,32
10,0.02664652094244957,70,3,0.0001,adam,mae,relu,linear,32
11,0.029589015990495682,50,3,0.01,adam,msle,relu,linear,32
12,0.030271440744400024,90,2,0.01,adam,mse,relu,linear,32
13,0.03467714414000511,90,2,0.01,adam,msle,relu,linear,32
14,0.32749393582344055,70,2,0.001,adam,mae,relu,softmax,32
15,0.32749393582344055,70,3,0.0001,adam,msle,relu,softmax,32
16,0.32749393582344055,90,3,0.01,adam,msle,relu,softmax,32
17,0.32749393582344055,60,4,0.001,adam,msle,relu,softmax,32
18,0.32749393582344055,50,2,0.01,adam,mse,relu,softmax,32
19,0.32749393582344055,50,3,0.0001,adam,mse,relu,softmax,32
20,0.32749393582344055,80,4,0.0001,adam,mae,relu,softmax,32
21,0.32749393582344055,90,3,0.001,adam,mae,relu,softmax,32
22,0.32749393582344055,90,2,0.0001,adam,mae,relu,softmax,32
23,0.32749393582344055,70,4,0.0001,adam,mae,relu,softmax,32
24,0.32749393582344055,50,4,0.01,adam,mae,relu,softmax,32
25,0.8159699440002441,80,3,0.0001,adam,msle,relu,linear,32
