best_models_sorted,val_loss_rmse,neurons,num_hidden_layers,l2,learning_rate,loss,activation,output_activation,batch_size
1,0.04351048916578293,70,3,0.0001,0.001,mae,relu,linear,64
2,0.04911290109157562,110,4,0.001,0.001,mae,relu,linear,64
3,0.049113623797893524,50,4,0.0001,0.001,mae,tanh,linear,32
4,0.05473591014742851,90,4,0.0001,0.01,mse,relu,linear,16
5,0.05516164377331734,50,2,0.0001,0.001,mae,tanh,linear,16
6,0.05549895763397217,130,4,0.001,0.001,mse,relu,linear,32
7,0.056464649736881256,90,4,0.001,0.01,mae,relu,linear,64
8,0.057561054825782776,130,3,0.01,0.001,mae,relu,linear,32
9,0.06052431836724281,90,2,0.01,0.01,mae,relu,linear,128
10,0.063114233314991,50,3,0.001,0.001,mae,tanh,linear,64
11,0.06902314722537994,110,3,0.0001,0.01,mae,tanh,linear,32
12,0.07640626281499863,30,2,0.0001,0.001,mae,sigmoid,linear,32
13,0.07985600084066391,70,2,0.0001,0.001,mse,sigmoid,linear,64
14,0.12325723469257355,50,2,0.001,0.1,mae,relu,linear,64
15,0.15822741389274597,30,4,0.01,0.01,mse,relu,linear,16
16,0.15822748839855194,30,2,0.001,0.01,mse,sigmoid,linear,128
17,0.1582278311252594,150,2,0.0001,0.01,mse,sigmoid,linear,32
18,0.15822899341583252,110,3,0.01,0.001,mse,relu,linear,128
19,0.158229798078537,130,3,0.01,0.001,mse,tanh,linear,128
20,0.15823200345039368,70,4,0.01,0.001,mse,tanh,linear,32
21,0.1582358479499817,110,3,0.01,0.001,mse,tanh,linear,32
22,0.15823596715927124,70,4,0.0001,0.1,mse,relu,linear,64
23,0.15825510025024414,130,4,0.0001,0.01,mse,sigmoid,linear,128
24,0.1582650989294052,150,4,0.0001,0.001,mse,sigmoid,linear,16
25,0.15828433632850647,90,4,0.01,0.01,mse,tanh,linear,32
26,0.1583794504404068,30,2,0.01,0.01,mse,sigmoid,linear,32
27,0.15850451588630676,130,4,0.001,0.01,mse,tanh,linear,16
28,0.1586543470621109,30,2,0.001,0.1,mse,sigmoid,linear,128
29,0.15948307514190674,110,3,0.001,0.01,mse,tanh,linear,128
30,0.16009864211082458,90,4,0.0001,0.01,mae,tanh,linear,64
31,0.16316360235214233,90,4,0.001,0.1,mae,sigmoid,linear,64
32,0.16339494287967682,30,3,0.01,0.1,mse,tanh,linear,16
33,0.16545501351356506,50,2,0.0001,0.1,mae,relu,linear,16
34,0.1668795645236969,110,4,0.001,0.01,mae,sigmoid,linear,32
35,0.16812589764595032,150,2,0.0001,0.1,mse,tanh,linear,16
36,0.1685037910938263,110,4,0.001,0.1,mae,tanh,linear,128
37,0.16859860718250275,130,3,0.01,0.1,mae,relu,linear,128
38,0.1691422015428543,130,4,0.001,0.001,mae,sigmoid,linear,32
39,0.1697137951850891,30,2,0.01,0.01,mae,sigmoid,linear,16
40,0.17534171044826508,150,4,0.001,0.01,mae,tanh,linear,32
41,0.1762213110923767,30,2,0.0001,0.1,mae,tanh,linear,16
42,0.20364132523536682,150,3,0.001,0.1,mse,tanh,linear,16
43,0.2684280574321747,130,3,0.01,0.1,mae,tanh,linear,16
44,0.32749393582344055,90,3,0.0001,0.1,mae,relu,softmax,16
45,0.32749393582344055,90,4,0.001,0.01,mae,relu,softmax,64
46,0.32749393582344055,70,4,0.01,0.001,mae,relu,softmax,64
47,0.32749393582344055,30,3,0.01,0.001,mae,sigmoid,softmax,32
48,0.32749393582344055,30,2,0.0001,0.01,mae,sigmoid,softmax,16
49,0.32749393582344055,50,2,0.001,0.1,mse,relu,softmax,32
50,0.32749393582344055,70,4,0.0001,0.01,mse,relu,softmax,64
51,0.32749393582344055,70,2,0.0001,0.001,mae,sigmoid,softmax,16
52,0.32749393582344055,110,4,0.01,0.001,mae,sigmoid,softmax,32
53,0.32749393582344055,150,3,0.001,0.01,mae,sigmoid,softmax,64
54,0.32749393582344055,110,4,0.001,0.01,mae,sigmoid,softmax,16
55,0.32749393582344055,110,2,0.0001,0.1,mae,sigmoid,softmax,64
56,0.32749393582344055,130,3,0.001,0.1,mae,sigmoid,softmax,16
57,0.32749393582344055,70,4,0.01,0.01,mae,tanh,softmax,16
58,0.32749393582344055,150,2,0.001,0.1,mae,sigmoid,softmax,64
59,0.32749393582344055,50,2,0.01,0.1,mae,tanh,softmax,128
60,0.32749393582344055,90,3,0.001,0.01,mae,relu,softmax,64
61,0.32749393582344055,30,2,0.001,0.1,mse,relu,softmax,64
62,0.32749393582344055,30,3,0.001,0.001,mae,sigmoid,softmax,64
63,0.32749393582344055,130,3,0.0001,0.001,mae,tanh,softmax,16
64,0.32749393582344055,150,2,0.01,0.001,mse,tanh,softmax,32
65,0.32749393582344055,110,2,0.01,0.1,mse,sigmoid,softmax,16
66,0.32749393582344055,70,3,0.001,0.001,mse,relu,softmax,16
67,0.32749393582344055,30,3,0.0001,0.01,mse,tanh,softmax,128
68,0.32749393582344055,150,4,0.001,0.001,mse,tanh,softmax,64
69,0.32749393582344055,70,4,0.001,0.001,mse,sigmoid,softmax,32
70,0.32749393582344055,90,3,0.0001,0.01,mse,sigmoid,softmax,32
71,0.32749393582344055,90,4,0.0001,0.01,mse,sigmoid,softmax,64
72,0.32749393582344055,70,3,0.0001,0.001,mse,sigmoid,softmax,16
73,0.32749393582344055,150,4,0.01,0.1,mse,sigmoid,softmax,64
74,0.32749393582344055,30,3,0.0001,0.001,mse,tanh,softmax,16
75,0.32749393582344055,70,2,0.01,0.001,mse,relu,softmax,128
76,0.32749393582344055,110,4,0.001,0.001,mse,relu,softmax,128
77,0.32749393582344055,130,4,0.01,0.001,mse,relu,softmax,128
78,0.32749393582344055,130,3,0.0001,0.1,mae,relu,softmax,64
79,0.32749393582344055,90,3,0.001,0.01,mse,tanh,softmax,128
80,0.32749393582344055,90,2,0.01,0.01,mse,sigmoid,softmax,32
81,0.32749393582344055,110,2,0.0001,0.1,mse,tanh,softmax,32
82,0.32749393582344055,70,4,0.0001,0.1,mse,tanh,softmax,16
83,0.32749393582344055,150,2,0.0001,0.1,mse,tanh,softmax,32
84,0.32749393582344055,30,3,0.01,0.01,mse,relu,softmax,32
85,0.32749393582344055,150,4,0.0001,0.001,mse,relu,softmax,128
86,0.32749393582344055,50,3,0.01,0.1,mae,relu,softmax,128
87,0.47705861926078796,130,2,0.01,0.1,mae,tanh,linear,32
88,0.48242586851119995,90,4,0.01,0.1,mae,tanh,linear,32
89,0.5738158822059631,90,3,0.01,0.1,mae,tanh,linear,32
90,0.6472698450088501,150,2,0.001,0.1,mae,tanh,linear,128
