val_rmse	neurons	num_hidden_layers	loss_function	batch_size
0.011486939154565334	900	6	mae	32
0.011795984581112862	300	7	mse	32
0.011896239593625069	900	8	mse	32
0.012242330238223076	900	5	mae	32
0.012339637614786625	1200	8	mse	64
0.012628539465367794	300	7	mae	32
0.012693074531853199	200	9	mse	64
0.01277881022542715	600	6	mse	128
0.013463092036545277	600	5	mae	32
0.014674076810479164	400	9	mse	128
0.01494072936475277	200	6	mse	64
0.016351234167814255	200	8	mse	64
0.016367139294743538	400	7	mse	32
0.01643909327685833	300	7	mse	64
0.017092633992433548	1200	5	mse	64
